State,Total number of allegations,Allegation of harassment or bullying on the basis of sex,"Allegation of harassment or bullying on the basis of sex or bullying on the basis of race, color, or national origin",Allegation of harassment or bullying on the basis of disability,Allegation of harassment or bullying on the basis of sexual orentation,Allegation of harassment or bullying on the basis of religion,Number of Schools,Percent of Schools Reporting ,
United States,135192,55579,30913,15345,22143,11212,96360,99.50083022,
Alabama,1434,610,516,89,204,15,1400,100,
Alaska,58,26,17,4,11,0,503,100,
Arizona,2780,1553,485,216,423,103,1977,99.69650986,
Arkansas,1222,598,405,102,108,9,1092,99.81684982,
California,18197,8899,3684,2117,2167,1330,10138,99.64490037,
Colorado,1162,710,268,61,105,18,1868,89.61456103,
Connecticut,1017,505,255,112,98,47,1238,100,
Delaware,258,102,57,47,47,5,235,100,
District of Columbia,116,69,22,5,18,2,221,48.86877828,!
Florida,149,36,37,29,34,13,3952,100,
Georgia,1550,792,379,150,207,22,2407,100,
Hawaii,824,277,306,103,135,3,290,100,
Idaho,1168,227,459,71,226,185,720,100,
Illinois,19687,4961,4053,3145,4551,2977,4081,99.70595442,
Indiana,2279,1086,522,230,344,97,1879,100,
Iowa,1310,518,280,227,260,25,1365,100,
Kansas,2046,902,302,121,669,52,1356,100,
Kentucky,885,444,202,79,151,9,1407,100,
Louisiana,448,208,135,50,53,2,1367,100,
Maine,581,262,158,44,103,14,589,100,
Maryland,514,249,108,70,76,11,1434,100,
Massachusetts,1842,1011,402,210,161,58,1873,100,
Michigan,5081,2078,1196,701,878,228,3616,99.97234513,
Minnesota,5881,1952,1489,547,1039,854,2170,99.8156682,
Mississippi,731,432,146,52,83,18,978,100,
Missouri,3424,1671,939,473,308,33,2372,100,
Montana,954,369,389,83,93,20,825,100,
Nebraska,1217,382,306,125,87,317,1064,100,
Nevada,1252,527,284,180,239,22,658,100,
New Hampshire,685,311,157,60,142,15,483,100,
New Jersey,5613,1527,2013,831,985,257,2577,100,
New Mexico,1255,942,106,93,77,37,880,100,
New York,10791,5193,2843,784,1556,415,4916,99.85760781,
North Carolina,2291,1861,165,38,218,9,2618,100,
North Dakota,227,97,80,13,27,10,481,100,
Ohio,2782,1138,777,316,365,186,3631,100,
Oklahoma,1295,606,407,107,160,15,1815,100,
Oregon,2612,1208,384,484,396,140,1283,100,
Pennsylvania,4460,1566,965,699,785,445,3027,100,
Rhode Island,2016,297,344,361,524,490,308,100,
South Carolina,988,433,330,107,106,12,1236,95.63106796,
South Dakota,268,179,35,27,24,3,688,100,
Tennessee,5703,1177,833,255,1824,1614,1818,100,
Texas,3931,1722,941,336,619,313,8616,100,
Utah,2111,1074,499,243,108,187,1009,94.84638256,
Vermont,1106,585,216,110,180,15,306,100,
Virginia,1574,721,363,185,182,123,1971,100,
Washington,3041,1393,639,359,378,272,2305,100,
West Virginia,1116,508,302,119,168,19,720,100,
Wisconsin,2996,1440,655,356,401,144,2232,100,
Wyoming,264,145,58,19,40,2,365,100,
